Timestamp,X,Y
2026-07-27 00:00,5,8
2026-07-27 00:10,6,8
2026-07-27 00:20,7,9
2026-07-27 00:30,8,9
2026-07-27 00:40,9,10
2026-07-27 00:50,10,11
2026-07-27 01:00,11,11
2026-07-27 01:10,12,12
2026-07-27 01:20,13,13
2026-07-27 01:30,14,13
2026-07-27 01:40,15,14
2026-07-27 01:50,16,15
2026-07-27 02:00,17,15
2026-07-27 02:10,18,16
2026-07-27 02:20,19,17
2026-07-27 02:30,20,17
2026-07-27 02:40,21,18
2026-07-27 02:50,22,19
2026-07-27 03:00,23,19
2026-07-27 03:10,24,20
2026-07-27 03:20,25,21
2026-07-27 03:30,26,21
2026-07-27 03:40,27,22
2026-07-27 03:50,28,23
2026-07-27 04:00,29,23
2026-07-27 04:10,30,24
2026-07-27 04:20,31,25
2026-07-27 04:30,32,25
2026-07-27 04:40,33,26
2026-07-27 04:50,34,27
